"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка статус-кода и тела ответа","633","Проверка создания заказа при разных параметрах цвета","tests","Mon Jun 02 21:13:08 MSK 2025","passed","Mon Jun 02 21:13:08 MSK 2025","TestCreateOrder","test_create_order","",""
"Проверка статус-кода и тела ответа","588","Создание курьера без заполнения обязательных полей","tests","Mon Jun 02 21:13:05 MSK 2025","passed","Mon Jun 02 21:13:05 MSK 2025","TestCreateCourier","test_create_courier","",""
"Проверка статус-кода и тела ответа","602","Успешная авторизация с существующими данными","tests","Mon Jun 02 21:13:13 MSK 2025","passed","Mon Jun 02 21:13:14 MSK 2025","TestLoginCourier","test_login_courier","",""
"Проверка статус-кода и тела ответа","629","Создание курьера без заполнения обязательных полей","tests","Mon Jun 02 21:13:07 MSK 2025","passed","Mon Jun 02 21:13:08 MSK 2025","TestCreateCourier","test_create_courier","",""
"Проверка статус-кода и тела ответа","663","Неуспешная авторизация при вводе не всех обязательных полей","tests","Mon Jun 02 21:13:16 MSK 2025","passed","Mon Jun 02 21:13:17 MSK 2025","TestLoginCourier","test_login_courier","",""
"Проверка статус-кода и тела ответа","629","Проверка создания заказа при разных параметрах цвета","tests","Mon Jun 02 21:13:08 MSK 2025","passed","Mon Jun 02 21:13:09 MSK 2025","TestCreateOrder","test_create_order","",""
"Проверка статус-кода и тела ответа","601","Неуспешная авторизация при вводе невалидных данных","tests","Mon Jun 02 21:13:14 MSK 2025","passed","Mon Jun 02 21:13:14 MSK 2025","TestLoginCourier","test_login_courier","",""
"Проверка статус-кода и тела ответа","597","Создание курьера без заполнения обязательных полей","tests","Mon Jun 02 21:13:05 MSK 2025","passed","Mon Jun 02 21:13:06 MSK 2025","TestCreateCourier","test_create_courier","",""
"Проверка статус-кода и тела ответа","1921","Создание курьера с валидными данными","tests","Mon Jun 02 21:13:02 MSK 2025","passed","Mon Jun 02 21:13:04 MSK 2025","TestCreateCourier","test_create_courier","",""
"Проверка статус-кода и тела ответа","599","Создание курьера без заполнения обязательных полей","tests","Mon Jun 02 21:13:07 MSK 2025","passed","Mon Jun 02 21:13:07 MSK 2025","TestCreateCourier","test_create_courier","",""
"Проверка статус-кода и тела ответа","615","Неуспешная авторизация при вводе не всех обязательных полей","tests","Mon Jun 02 21:13:15 MSK 2025","passed","Mon Jun 02 21:13:16 MSK 2025","TestLoginCourier","test_login_courier","",""
"Проверка статус-кода и тела ответа","598","Создание курьера без заполнения обязательных полей","tests","Mon Jun 02 21:13:06 MSK 2025","passed","Mon Jun 02 21:13:07 MSK 2025","TestCreateCourier","test_create_courier","",""
"Проверка статус-кода и тела ответа","2571","Получение списка заказов","tests","Mon Jun 02 21:13:10 MSK 2025","passed","Mon Jun 02 21:13:13 MSK 2025","TestGetOrderList","test_list_orders","",""
"Проверка статус-кода и тела ответа","595","Проверка создания заказа при разных параметрах цвета","tests","Mon Jun 02 21:13:10 MSK 2025","passed","Mon Jun 02 21:13:10 MSK 2025","TestCreateOrder","test_create_order","",""
"Проверка статус-кода и тела ответа","608","Неуспешная авторизация при вводе невалидных данных","tests","Mon Jun 02 21:13:14 MSK 2025","passed","Mon Jun 02 21:13:15 MSK 2025","TestLoginCourier","test_login_courier","",""
"Проверка статус-кода и тела ответа","601","Создание курьера с уже существующим логином","tests","Mon Jun 02 21:13:04 MSK 2025","passed","Mon Jun 02 21:13:05 MSK 2025","TestCreateCourier","test_create_courier","",""
"Проверка статус-кода и тела ответа","652","Проверка создания заказа при разных параметрах цвета","tests","Mon Jun 02 21:13:09 MSK 2025","passed","Mon Jun 02 21:13:10 MSK 2025","TestCreateOrder","test_create_order","",""
"Проверка статус-кода и тела ответа","603","Неуспешная авторизация при вводе не всех обязательных полей","tests","Mon Jun 02 21:13:15 MSK 2025","passed","Mon Jun 02 21:13:15 MSK 2025","TestLoginCourier","test_login_courier","",""
